serviceId,serviceName,pageUrl,pageHttpStatus,available,introduction,feeCount,feeInfo,documentCount,mandatoryDocumentCount,requiredDocuments,contact,timeLimit,formSectionCount,formFieldCount
11,Public Grievance Collectorate,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=11,200,Yes,Important Instruction: Information must be complete and Point wise. Give Your mobile no and Identity so that system can send SMS. Give Reference No if You have Already lodge given. Choose Your Grievance Category. Keep Your Generated Greviance Id for further Processing. Documents Required: Any Document or Photo Related to Public Grievance Collectorate . Fee Details: Rs 30.00 Expected Greviance Solution/Action Date: Citizen should be getting a response normally within 30 working days,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,1,0,Affidavit -> Affidavit (No),Lok Seva Kendra,30 Days,1,4
12,Application for inclusion in Indira Gandhi old age Pension,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=12,200,Yes,"Application for inclusion in Indira Gandhi old age Pension In Chhattisgarh, the Indira Gandhi Old Age Pension provides financial support to elderly citizens who meet the state’s eligibility criteria. The service is available through the eDistrict Portal of Chhattisgarh and can also be accessed via Lok Seva Kendras (LSK) or Common Service Centres (CSC) for applicants requiring assistance. Eligible citizens, typically aged 60 years and above and meeting income requirements, can register on the portal and select the “Application for Indira Gandhi Old Age Pension” service. Upon submission, a unique Application Reference Number (ARN) is generated, allowing applicants to track the status of their application. The concerned authority verifies the application, which is generally processed within 60 days. Once approved, the applicant receives an SMS notification, and the pension amount is directly credited to the beneficiary’s bank or post office account.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,11,3,Domicile Certificate -> Issued By Gazetted Officer Or Ombudsman (Yes) |  -> Issued By Councillor () | Age Proof Document -> Sarpanch Or In Case Of Urban Area Mayor (Yes) |  -> Administrator () |  -> Officer Authorized By The President () |  -> Birth Registration Certificate () |  -> Doctors Certificate () |  -> School Certificate () | Other Documents -> Other Documents (No) | Below Poverty Line Related Document -> Bpl Certificate (Yes) | Bank/Post Office Account Passbook -> Bank/Post Office Account Passbook (No),Lok Seva Kendra,60 Days,4,27
13,Application for inclusion in Samajik Suraksha Pension Yojana,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=13,200,Yes,"Application for Inclusion in Sukhad Sahara Yojana The Sukhad Sahara Yojana provides financial assistance to eligible beneficiaries in Chhattisgarh to support their livelihood and social security needs. Citizens can apply for this service either by creating an account and applying directly on the eDistrict Portal, or by visiting their nearest Lok Seva Kendra (LSK) or Common Service Centre (CSC) for assistance. After logging in, applicants need to select the “Application for Inclusion in Sukhad Sahara Yojana” service under the Social Welfare section, fill out the online form, and upload the required supporting documents. Once the application is submitted successfully, a unique Acknowledgment Number (ARN) is generated for tracking the status. The application is then forwarded to the concerned authority for verification, and if the applicant is found eligible, it is approved. The sanctioned assistance amount is directly credited to the beneficiary’s bank or post office account, ensuring timely and transparent delivery of benefits.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,15,6,Domicile Certificate -> Issued By Gazetted Officer Or Ombudsman (Yes) |  -> Issued By Councillor () | Age Proof Document -> Sarpanch Or In Case Of Urban Area Mayor (Yes) |  -> Administrator () |  -> Officer Authorized By The President () |  -> Birth Registration Certificate () |  -> Doctors Certificate () |  -> School Certificate () | Disability Certificate -> Certificate Issued Pursuant To The Provisions Of The Persons With Disabilities Act -1995 (Yes) | School Going Certificate For Age Group 6-14 Disable Students -> Respective School Principal (Yes) |  -> Issued By The Principal () | Dwarf Certificate -> Issued By Authorized Physician (Yes) | Other Documents -> Other Documents (No) | Below Poverty Line Related Document -> Bpl Certificate (Yes) | Bank/Post Office Account Passbook -> Bank/Post Office Account Passbook (No),Lok Seva Kendra,60 Days,4,32
14,Application for inclusion in Sukhad Sahara Yojana,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=14,200,Yes,"Application for Inclusion in Sukhad Sahara Yojana The Sukhad Sahara Yojana provides financial assistance to eligible beneficiaries in Chhattisgarh to support their livelihood and social security needs. Citizens can apply for this service either by creating an account and applying directly on the eDistrict Portal, or by visiting their nearest Lok Seva Kendra (LSK) or Common Service Centre (CSC) for assistance. After logging in, applicants need to select the “Application for Inclusion in Sukhad Sahara Yojana” service under the Social Welfare section, fill out the online form, and upload the required supporting documents. Once the application is submitted successfully, a unique Acknowledgment Number (ARN) is generated for tracking the status. The application is then forwarded to the concerned authority for verification, and if the applicant is found eligible, it is approved. The sanctioned assistance amount is directly credited to the beneficiary’s bank or post office account, ensuring timely and transparent delivery of benefits.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,17,5,Domicile Certificate -> Issued By Gazetted Officer Or Ombudsman (Yes) |  -> Issued By Councillor () | Age Proof Document -> Sarpanch Or In Case Of Urban Area Mayor (Yes) |  -> Administrator () |  -> Officer Authorized By The President () |  -> Birth Registration Certificate () |  -> Doctors Certificate () |  -> School Certificate () | Death Certificate -> Related Village (Yes) |  -> Ward Arbitrator Of Urban Bodies () |  -> Certified By Councillor () | Divorcee Related Certificate -> Related Village (Yes) |  -> Ward Arbitrator Of Urban Bodies () |  -> Certified By Councillor () | Other Documents -> Other Documents (No) | Below Poverty Line Related Document -> Bpl Certificate (Yes) | Bank/Post Office Account Passbook -> Bank/Post Office Account Passbook (No),Lok Seva Kendra,60 Days,4,27
15,Application for inclusion in Widow Pension,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=15,200,Yes,"Application for Inclusion in Widow Pension The Widow Pension Scheme offers financial support to eligible widows in Chhattisgarh. Applicants can apply through the eDistrict Portal by creating an account and submitting their application online, or they may seek assistance at the nearest Lok Seva Kendra (LSK) or Common Service Centre (CSC). After logging in, the applicant needs to select “Application for Inclusion in Widow Pension” under the Social Welfare section, complete the digital application form, and upload the required supporting documents. On successful submission, a unique Acknowledgment / ARN is generated to track the application status. The application is forwarded to the concerned authority for verification, and upon satisfying eligibility criteria, it is approved. Once approved, the pension amount is transferred directly to the beneficiary’s bank or post office account, ensuring timely and transparent disbursement of benefits",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,14,4,Domicile Certificate -> Issued By Gazetted Officer Or Ombudsman (Yes) |  -> Issued By Councillor () | Age Proof Document -> Sarpanch Or In Case Of Urban Area Mayor (Yes) |  -> Administrator () |  -> Officer Authorized By The President () |  -> Birth Registration Certificate () |  -> Doctors Certificate () |  -> School Certificate () | Death Certificate -> Related Village (Yes) |  -> Ward Arbitrator Of Urban Bodies () |  -> Certified By Councillor () | Other Documents -> Other Documents (No) | Below Poverty Line Related Document -> Bpl Certificate (Yes) | Bank/Post Office Account Passbook -> Bank/Post Office Account Passbook (No),Lok Seva Kendra,60 Days,4,26
16,Application for Case listing (Revenue Court),https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=16,200,Yes,"Application for Case Listing (Revenue Court) – Chhattisgarh In Chhattisgarh, citizens can apply for case listing in Revenue Courts through the e-District Portal. This service allows parties, their legal representatives, or authorized agents to request the inclusion of revenue-related cases in the court’s hearing schedule, ensuring transparency and timely processing. Eligible applicants include parties to a revenue case, advocates, or authorized representatives. Applications can be submitted online via the e-District Portal or offline at the relevant Tehsil or Revenue Court office. The applicant must complete the application form and submit necessary details, including case number, parties involved, and supporting documents. Upon submission, an Application Reference Number (ARN) is generated to track the application status. The concerned authority verifies the documents and schedules the case within the prescribed time frame, usually within 7 working days. Applicants are notified via SMS or email once the case is listed, facilitating proper record management and ensuring timely hearings.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,6,1,"Residential Proof -> Domicile Certificate (Yes) |  -> Ration Card () |  -> Electricity Bill () |  -> Land And House Document () |  -> Certificate From Ward Member, Local Mla/Mp () |  -> Other Documents ()",Lok Seva Kendra,7 Days,1,10
17,Court Order Certificate (Revenue Court),https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=17,200,Yes,"Court Order Certificate (Revenue Court) Obtaining a Court Order Certificate from a Revenue Court is a crucial service for citizens dealing with land and property disputes. This certificate serves as an official document that confirms the final decision, order, or official order passed by a Revenue Court on matters like land demarcation, mutation, property disputes, or the recovery of land revenue arrears. After a simple registration and login, citizens can select the ""Revenue Court Certificate"" service, fill out an online application form with the required details, and upload supporting documents such as the original case number, copy of the court order, and identity proof. The system generates a unique application ID, which allows for real-time tracking of the application status, from submission to approval. Once the certificate is approved and digitally signed by the competent authority, it can be downloaded and printed directly from the portal, eliminating the need to collect it in person. This digitalization ensures authenticity, reduces the scope for errors, and enhances accountability in public service delivery.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,12,2,"Residential Proof -> Domicile Certificate (Yes) |  -> Ration Card () |  -> Electricity Bill () |  -> Land And House Document () |  -> Certificate From Ward Member, Local Mla/Mp () |  -> Other Documents () | Identity Proof -> Voters Identity Card (Yes) |  -> Driving License () |  -> Passport () |  -> Defence Id Card () |  -> Pan Card () |  -> Aadhaar Card ()",Lok Seva Kendra,15 Days,1,6
18,Issuance of Ration card,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=18,200,Yes,,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,13,2,"Residential Proof -> Domicile Certificate (Yes) |  -> Electricity Bill () |  -> Other Documents () |  -> Land And House Document () |  -> Certificate From Ward Member, Local Mla/Mp () | Affidavit -> Affidavit (No) | Income Proof -> Income Certificate Employer/Form 16 (Yes) |  -> Certificate From Patwari/Sarpanch/Parshad () |  -> Income From Land/House () |  -> Other Documents () |  -> Application Form () |  -> Form 16 () |  -> Income Of Other Members Of The Family ()",Lok Seva Kendra,30 Days,0,0
19,,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=19,,No,,0,,0,0,,,,0,0
20,,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=20,,No,,0,,0,0,,,,0,0
21,Issuance of Trade License,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=21,200,Yes,"Issuence of Trade Licence instruction Eligibility Criteria: Fields marked in '*' are mandatory. Wherever there is a Select button please click the Select button to obtain a list of valid records. Trade license is valid for one year only. Enclosure: If business is based on partnership, than copy of partnership records. Fee Details: 30.00/-(Not Applicable for Citizen) Expected Delivery Date: You should be getting a response normally within 15 working days. Other Instructions: In case insufficient information is furnished the application will not be accepted. Still you have to pay a minimum service charge. Note:-",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,6,3,Photo Id Proof -> Driving Licence (Yes) |  -> Passport () |  -> Pancard () |  -> Voter Id () | Lease Deed/Legal Occupancy -> Lease Deed/Legal Occupancy (Yes) | Challan Copy -> Challan Copy (Yes),Lok Seva Kendra,15 Days,2,18
22,Shop and Establishment Registration,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=22,200,Yes,,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,5,1,Photo Id Proof -> Pancard (Yes) |  -> Voter Id () |  -> Driving Licence () |  -> Passport () | Challan(In Offline Mode) -> Challan(In Offline Mode) (No),Lok Seva Kendra,15 Days,6,25
23,Food Registration(Application for Small Cottage),https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=23,200,Yes,,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,10,4,Affidavit -> Affidavit (Yes) | Certificate/Document -> Copy Of Partnership Records (No) | Additional Document -> Additional Document (No) | Necessary Documents -> Identity Proof (Yes) |  -> Receipt/Challan Of Registration Fee () |  -> Address Proof () |  -> Vender Card () |  -> Trade License () | Photo -> Applicant Photo (Yes) | Tax Reciept -> Tax Receipt (Yes),Lok Seva Kendra,15 Days,0,0
24,Application for Water Tap Connection,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=24,200,Yes,"Application for Water Tap Connection In Chhattisgarh, the Water Tap Connection service allows citizens to obtain a new water supply connection for domestic, commercial, or institutional use. The service is available online through the eDistrict Portal of Chhattisgarh and offline via Lok Seva Kendras (LSK) or Common Service Centres (CSC). This service is applicable to residents, households, and establishments falling under the jurisdiction of municipal corporations, municipalities, or Gram Panchayats responsible for water supply. The applicant must be the property owner or an authorized occupant of the premises where the connection is required. To apply, the citizen has to register and log in to the eDistrict portal, select the “Water Tap Connection” service, and fill the application form with property and personal details. Through LSK or CSC, operators assist citizens in completing the form. On submission, an Application Reference Number (ARN) is generated, and the prescribed application and connection fees are paid. The local body verifies documents, may conduct a site inspection, and processes the request within 30 days. Upon approval, the connection is sanctioned and installed, remaining valid with regular bill payment.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,9,2,"Residential Proof -> Domicile Certificate (Yes) |  -> Ration Card () |  -> Electricity Bill () |  -> Other Documents () |  -> Land And House Document () |  -> Certificate From Ward Member, Local Mla/Mp () | Bpl Proof -> Bpl Certificate (No) | Tax Reciept -> Tax Receipt (Yes) | Cosent Form -> Cosent Form (No)",Lok Seva Kendra,30 Days,3,18
25,NOC for Building (Plan) Construction,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=25,200,Yes,,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,4,0,Additional Document -> Other Documents (No) |  -> Additional Document () |  -> Other Documents () | Application Form -> Application Form (No),Lok Seva Kendra,30 Days,3,30
